Threshold,Precision,Recall,F1
4.184246e-05,0.5742420200942474,1.0,0.7295473111715464
4.196167e-05,0.5748724187040114,1.0,0.7300558549711654
4.208088e-05,0.575863401295845,1.0,0.7308544600604795
4.220009e-05,0.5767032770783106,1.0,0.7315305064746368
4.2319298e-05,0.5771241343361382,1.0,0.7318689989101247
4.2438507e-05,0.5780194209513582,1.0,0.7325884708566374
4.2557716e-05,0.5787532110639824,1.0,0.7331775521875906
4.2676926e-05,0.5792982823314846,1.0,0.7336147770745435
4.2796135e-05,0.5804784516979493,1.0,0.7345604078328611
4.2915344e-05,0.5813144117249966,1.0,0.7352293809992102
4.3034554e-05,0.5817856981998889,1.0,0.7356062141463844
4.3153763e-05,0.5825728761068599,1.0,0.7362351285317332
4.3272972e-05,0.5833534051905823,1.0,0.7368581134116117
4.339218e-05,0.5845678081158546,1.0,0.737826177501119
4.351139e-05,0.58518574448807,1.0,0.73831819751251
4.36306e-05,0.5861416989351403,1.0,0.7390786026661487
4.374981e-05,0.586594208383161,1.0,0.7394382276029435
4.386902e-05,0.5877240877240877,1.0,0.7403352869261817
4.3988228e-05,0.5884648676557683,1.0,0.7409227310385554
4.4107437e-05,0.5895391824253396,1.0,0.7417736979807502
4.4226646e-05,0.5899251004749726,1.0,0.7420791037116697
4.4345856e-05,0.5907434791225209,1.0,0.7427262574538454
4.4465065e-05,0.591518981545084,1.0,0.7433388915715338
4.4584274e-05,0.5920883755042171,1.0,0.7437883234311791
4.4703484e-05,0.5926860603835918,1.0,0.7442597400765184
4.4822693e-05,0.5932577044963946,1.0,0.7447102864760516
4.4941902e-05,0.5939214664500506,1.0,0.7452330308928649
4.506111e-05,0.5946323348882887,1.0,0.7457923913238389
4.518032e-05,0.5951985992074463,1.0,0.7462376105043912
4.529953e-05,0.5959125299870824,1.0,0.7467984805632342
4.541874e-05,0.5963802576296228,1.0,0.7471656593640499
4.553795e-05,0.5990076052680393,1.0,0.7492242057491747
4.5657158e-05,0.5998049716744575,1.0,0.7498476108589979
4.5776367e-05,0.601126209977662,1.0,0.750879227979976
